Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020<R>,2021<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Durango<C1>,1.236320032,1.221406288,1.215645482,1.220967806,1.213789606,1.213054132,1.220657848,1.219820932,1.218429624,1.212429113,1.205339859,1.195364615,1.179746947,1.170989652,1.177056784,1.201650323,1.191198673,1.157526495,1.181993375,1.153225933,1.109471782,1.158195768,1.167865744,1.217624386,1.208076468,1.161260981,1.151271718,1.141465576,1.150633822,1.194879186,1.179371228,1.185245521,1.185555989,1.208575123,1.201012846,1.163419325,1.181571427,1.151537827,1.142698183,1.155016737,1.165605269,1.175990736
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guanajuato<C1>,3.098076239,3.110508687,3.118845554,3.130940643,3.139251031,3.149454244,3.157389136,3.165973628,3.17056631,3.174446196,3.182445776,3.181360313,3.176161502,3.186711002,3.166678803,3.252861524,3.244567596,3.222542989,3.27552406,3.241054246,3.262280731,3.293652003,3.441698981,3.49033137,3.455397775,3.406016122,3.428567741,3.428607325,3.492556574,3.52912956,3.603360115,3.684933215,3.699839697,3.800997135,3.859331018,3.943745807,3.964824373,4.063399882,4.028469682,3.972563691,3.993614241,4.005425928
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guerrero<C1>,1.891332633,1.809784981,1.818253624,1.876566081,1.848535338,1.838803562,1.88758117,1.874386918,1.867364958,1.837275258,1.800135438,1.772444504,1.7410987,1.693611228,1.710238837,1.706952118,1.642483449,1.580747805,1.561299247,1.538629831,1.479821291,1.497127444,1.486409061,1.454832798,1.475461285,1.462570848,1.432310341,1.437302918,1.44614553,1.474437655,1.476342112,1.441792865,1.413509084,1.398815417,1.41692145,1.384732732,1.378974451,1.350817988,1.359710661,1.362781324,1.341844576,1.334497828
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Hidalgo<C1>,1.543640091,1.535965384,1.540860356,1.549428875,1.550167271,1.558744314,1.570922535,1.575975868,1.578848162,1.574925576,1.577085776,1.579428495,1.588018224,1.585794714,1.554149468,1.442326429,1.504743323,1.4641147,1.52198906,1.5019099,1.461204308,1.451392115,1.446304141,1.429666969,1.467735577,1.424016628,1.402621151,1.414682552,1.449724803,1.432981301,1.437415167,1.442404691,1.443828093,1.476624564,1.51280511,1.56033898,1.58299912,1.55869039,1.56483844,1.54223979,1.498143573,1.475512856
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Jalisco<C1>,6.878293058,6.87214819,6.870405734,6.854361748,6.85168331,6.859147414,6.857204351,6.859121611,6.857117656,6.84087519,6.820155636,6.785133739,6.758659608,6.72998535,6.650770206,6.50444975,6.434835553,6.46444286,6.589353645,6.670617795,6.649234216,6.541540844,6.484695515,6.329729006,6.277357641,6.30915763,6.359811359,6.405991979,6.377761427,6.376642886,6.447505604,6.407374888,6.449915633,6.511560194,6.642473899,6.664197547,6.766531097,6.789549786,6.82480065,6.887419993,6.910710985,6.965203332
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|México<C1>,8.522299591,8.4892475,8.483618753,8.502351394,8.472705635,8.42675876,8.415196786,8.378335898,8.357599476,8.348874273,8.328350721,8.329794516,8.319400711,8.332228548,8.254525275,8.124176249,8.275936924,8.40081258,8.389798573,8.469121024,8.526287995,8.610474681,8.471477285,8.347757081,8.228231922,8.236437681,8.259782165,8.310788891,8.318854382,8.343217192,8.547794308,8.627761129,8.683787573,8.727145726,8.727691381,8.716734775,8.747022182,8.984091741,9.084872023,8.947353547,9.13203311,9.245470147
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,2.311128904,2.263322202,2.291194536,2.361642412,2.359733496,2.3761964,2.444655416,2.455698984,2.469200557,2.454295477,2.427893751,2.405066053,2.373010213,2.304827625,2.34678581,2.446142011,2.389542926,2.476951661,2.373991496,2.45081893,2.374018763,2.328280036,2.301660095,2.344659929,2.306557789,2.292723791,2.300212469,2.30294303,2.323568487,2.322613847,2.297645305,2.307611976,2.281320443,2.297990942,2.362928448,2.328419888,2.367795022,2.393890074,2.397342689,2.40316571,2.439643625,2.38806387
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Morelos<C1>,1.287984486,1.270606012,1.270577988,1.276363171,1.273724441,1.278412944,1.291475027,1.296892114,1.302543913,1.300053139,1.294797678,1.284544083,1.277254998,1.289306521,1.261430071,1.189217408,1.186490637,1.184272906,1.218058013,1.245318596,1.206394837,1.253831045,1.221560296,1.258495984,1.223957579,1.283211267,1.207186688,1.187876019,1.178055781,1.23345253,1.219199987,1.17424359,1.138733213,1.164294375,1.155540081,1.130754092,1.144775516,1.172768262,1.13729984,1.138054126,1.10301181,1.093628602
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Nayarit<C1>,0.720551667,0.713421707,0.716239547,0.730650074,0.72786693,0.727331272,0.736049914,0.735128565,0.734153705,0.732293976,0.735049094,0.739312769,0.745506539,0.748467236,0.738008116,0.690844837,0.662902928,0.630470934,0.650991948,0.652508091,0.631181044,0.653045176,0.63758319,0.605976262,0.665707642,0.676294036,0.661568863,0.643133791,0.68245887,0.681673274,0.681322493,0.676966503,0.653232239,0.662468692,0.678319921,0.687979697,0.703505898,0.698219533,0.681533182,0.685170815,0.658667524,0.681852231
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Nuevo León<C1>,5.178668577,5.262216356,5.277789788,5.244515907,5.289343316,5.312591709,5.282854428,5.308544584,5.331241524,5.374445494,5.419565832,5.45948551,5.505882663,5.573302514,5.630971926,5.580353252,5.562649628,5.679086726,5.807810015,5.986828957,6.080774666,6.087590878,6.23844313,6.400842401,6.51185291,6.633632281,6.79643841,7.047872906,7.084524131,6.980419084,7.142946202,7.191630113,7.218056547,7.191889238,7.226969976,7.407273547,7.405533314,7.539316043,7.644482025,7.76984301,7.781204791,7.892560587
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Oaxaca<C1>,1.901150385,1.847112546,1.851054405,1.89473506,1.875922472,1.870469684,1.906789269,1.898465575,1.891217786,1.86793964,1.845121115,1.826418618,1.810627363,1.799374089,1.852049128,1.809390776,1.759417938,1.67895754,1.635779046,1.636734274,1.612443507,1.630357241,1.635226005,1.616070042,1.614912601,1.600851584,1.564981476,1.542080851,1.573544517,1.644942171,1.589205523,1.579450461,1.553238851,1.569532332,1.557457202,1.571906669,1.510846924,1.445593629,1.473004459,1.431516121,1.457538197,1.464676014
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Puebla<C1>,2.888516454,2.872962543,2.875519258,2.865731925,2.872316709,2.894523053,2.905051156,2.926071883,2.941470472,2.940225108,2.933980356,2.899029803,2.871409411,2.861741354,2.871721004,2.799609634,2.873768263,2.926493619,3.005494668,3.161216348,3.115107712,3.175485614,3.118553749,3.152352441,3.110241912,3.207882948,3.210028603,3.267879558,3.256109115,3.169411928,3.274489411,3.316482721,3.397228385,3.319498525,3.27500779,3.26069512,3.269880423,3.399231122,3.411302533,3.370266418,3.25810246,3.184839351
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Querétaro<C1>,1.354190168,1.3902613,1.386688775,1.345623991,1.361857854,1.37654134,1.348708097,1.361101775,1.367270444,1.380379743,1.404424178,1.422341036,1.459226823,1.483893528,1.521080835,1.52042128,1.570222722,1.647829138,1.718157437,1.728749649,1.718078393,1.718763107,1.712298986,1.688868039,1.746400565,1.822866796,1.855151475,1.905522698,1.932605073,1.980514105,2.002474539,2.076293702,2.062695394,2.045627467,2.132713568,2.185957364,2.225507106,2.279943189,2.297828653,2.282902811,2.245660985,2.279724572
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Quintana Roo<C1>,0.907166575,0.902644235,0.897679909,0.903509141,0.901481546,0.896850237,0.907380875,0.912512286,0.924583258,0.939186715,0.950594789,0.969607177,0.991791583,1.012945873,1.00361358,1.024411542,1.050612517,1.080090033,1.103412016,1.073198886,1.061132333,1.120509724,1.118866041,1.148433891,1.202554292,1.226289142,1.251595141,1.353292408,1.409581418,1.360377381,1.359694678,1.38516178,1.397900172,1.440121088,1.451733855,1.4721962,1.539801698,1.570771613,1.618717404,1.642600118,1.362738568,1.512257153
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,1.752347351,1.755538046,1.750318283,1.739076069,1.738810647,1.738740993,1.731345559,1.733506591,1.735594997,1.741055631,1.750413215,1.755996236,1.758379629,1.764806413,1.803467083,1.724700672,1.737339427,1.731922404,1.737540634,1.738170915,1.736715176,1.729841385,1.735967341,1.785798146,1.819555257,1.852304014,1.856595516,1.854265633,1.874807804,1.874528925,1.87701853,1.908346515,1.926602982,1.968317795,1.971203291,1.986556143,2.014214807,2.046634771,2.089347559,2.086542165,2.095935113,2.082638076
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Sinaloa<C1>,2.510352582,2.490327591,2.489203424,2.525374775,2.515752215,2.523742072,2.545223771,2.547309968,2.536134693,2.519619447,2.529553778,2.522252061,2.491111307,2.489443942,2.43340649,2.458876505,2.349258027,2.252830515,2.222472176,2.22606236,2.271883873,2.232356722,2.159707234,2.13587722,2.181177318,2.140503711,2.117174434,2.144047875,2.196668363,2.220501387,2.17841684,2.142827349,2.139793578,2.135814271,2.116602461,2.164421035,2.216618771,2.198452661,2.208288383,2.253773134,2.268545604,2.247948324
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Sonora<C1>,3.010615224,3.052531373,3.031309404,2.952770478,2.965435323,2.989870411,2.918492411,2.928828218,2.91166005,2.908840109,2.958069444,2.972043849,3.01814928,3.012458492,3.131490098,3.16750258,3.105571071,3.207829162,3.252749743,3.284056682,3.388505825,3.291698917,3.038301039,2.910507735,2.946084901,3.033336009,3.083865873,3.054463055,3.032177802,3.006724977,3.006479049,3.169646531,3.213831063,3.262341469,3.254445846,3.314995563,3.40906029,3.323674549,3.284589078,3.287278771,3.380511469,3.356670959
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tabasco<C1>,3.53934946,3.524386466,3.527796368,3.514433198,3.526807422,3.557020858,3.600706299,3.636303695,3.680272546,3.698211867,3.700397597,3.706068804,3.713074774,3.725358715,3.570163801,3.755425548,3.823128752,3.676132606,3.618219532,3.473417754,3.289683626,3.208253253,3.024743637,2.985016841,2.997873009,3.154693632,3.196449284,3.185522138,3.299388024,3.633677341,3.658007669,3.695608011,3.655006703,3.53922943,3.515209383,3.391026491,3.148440518,2.9393766,2.639508851,2.540984715,2.8497751,2.947685197
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tamaulipas<C1>,2.747590111,2.744158586,2.748290962,2.732359881,2.747725627,2.779168823,2.776771702,2.798709141,2.804986831,2.79901043,2.803833742,2.774107724,2.758560508,2.722086917,2.78393815,2.758221285,2.807294707,2.813236711,2.930292855,3.03935836,3.050096717,2.918242333,3.03312146,3.117853017,3.142460928,3.270153402,3.227312148,3.255175397,3.355959382,3.221876466,3.12292784,3.070548403,3.022302819,3.025333389,2.974336317,2.971075853,2.946895718,2.875792894,2.872630511,2.928892375,2.907512126,2.825937958
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Tlaxcala<C1>,0.652611304,0.650502864,0.651019473,0.651052247,0.651881378,0.655230127,0.65905285,0.660787499,0.661735087,0.659747344,0.659531485,0.662241339,0.667476185,0.659370873,0.650700681,0.65188496,0.667071143,0.684299957,0.658343253,0.687526322,0.678778704,0.704724936,0.682716257,0.662899028,0.688007678,0.593953633,0.559096895,0.554349654,0.577992062,0.598888146,0.618780705,0.57833366,0.582714306,0.560377001,0.56240512,0.581797539,0.570348182,0.551565369,0.558613191,0.586236237,0.558934064,0.556838453
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,5.596369668,5.494112775,5.519984335,5.635908131,5.613357338,5.62169581,5.739206966,5.744405207,5.758435662,5.728457882,5.687059676,5.667283192,5.6427096,5.606435929,5.668800828,5.862526456,5.704980873,5.503220524,5.409250211,5.182056984,4.960791744,4.887236158,4.864130609,4.88562038,4.933529409,4.861551687,4.913778706,4.950088391,4.890133526,5.048020101,5.003682428,5.020354546,5.053015436,4.995053795,4.859511349,4.739286642,4.621980171,4.478253858,4.485660571,4.537484462,4.533158793,4.501068187
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Yucatán<C1>,1.195199016,1.184913963,1.189006848,1.20650038,1.204505297,1.205911982,1.221830504,1.223121524,1.225038769,1.222175651,1.218717306,1.216842337,1.213268207,1.225210372,1.248312551,1.24554606,1.233111063,1.22134331,1.232028986,1.245512379,1.270705234,1.298728595,1.288981972,1.287006479,1.295056302,1.325377339,1.331257579,1.341453963,1.341122593,1.387440423,1.366670187,1.363919227,1.391359621,1.379489108,1.393269245,1.389521563,1.42796754,1.456398734,1.476074251,1.490664264,1.488368533,1.524756069
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Zacatecas<C1>,0.719061191,0.702948634,0.710433697,0.738404689,0.736504109,0.740968725,0.765840985,0.769908465,0.775404893,0.774625161,0.77376753,0.77833773,0.788514168,0.793055178,0.785091175,0.847996281,0.788457231,0.763574332,0.780441886,0.745837043,0.707104184,0.735948709,0.791931549,0.807432606,0.809648438,0.791606553,0.80471811,0.813325126,0.877495749,0.956233658,1.008406631,0.973910103,0.963830679,0.938837544,0.975956414,0.964481395,0.930355295,0.909537594,0.890508348,0.859739187,0.892487351,0.884832618
Valores constantes|Índice de volumen físico base 2013=100|B.1bP---Producto interno bruto<C1>,46.95505505,51.41029735,51.40639873,49.16354752,50.87773851,51.8335161,49.91135975,50.94469772,51.596362,53.48218531,56.26776869,58.53963511,60.59325429,62.45287427,65.53872117,61.41552894,65.57536156,70.06520973,73.68332475,75.71223505,79.45427725,79.13297196,79.10144186,80.24555139,83.3916511,85.31616952,89.15119779,91.19404909,92.23693018,87.36152205,91.83278796,95.19663027,98.66399872,100,102.8497733,106.2367721,109.0313649,111.3353384,113.7791432,113.5526684,104.4821808,109.4143303
"Valores constantes|Índice de volumen físico base 2013=100|D.21-D.31---Impuestos sobre los productos, netos",45.0143695,49.28547359,49.28173608,47.13158346,48.77492579,49.69120033,47.8484881,48.83911741,49.46384806,51.271729,53.9421822,56.12015079,58.08889237,62.19718502,67.0266654,60.9299483,64.61925241,69.3952431,72.33837648,75.42294939,76.96880592,77.63413416,78.1346184,79.2056893,82.43852437,84.99503598,91.38881884,92.87616904,96.25789408,90.05372028,93.82678462,97.63142135,99.0803047,100,106.1971344,112.3513144,120.5055838,124.8806936,129.0295746,128.7682347,111.9240169,121.1662847
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,47.03378199,51.49649414,51.49258899,49.24597732,50.9630424,51.92042248,49.99504336,51.03011388,51.68287076,53.57185593,56.36210974,58.63778527,60.69484764,62.46324671,65.47836041,61.43522729,65.61414763,70.09238799,73.73788469,75.72397039,79.55510428,79.19377467,79.14066257,80.28773494,83.43031621,85.32919683,89.06042521,91.12581111,92.07381348,87.25230886,91.75189839,95.09785927,98.64711076,100,102.7139823,105.9887263,108.5658955,110.78585,113.1604858,112.9354253,104.180291,108.9375939
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Aguascalientes<C1>,29.53933455,32.82968106,32.97017192,31.3144678,32.76782902,33.76066094,32.46120392,33.56337531,34.40346839,36.22107057,38.92524759,41.24859071,43.66293694,45.60878953,48.62797259,46.28031927,49.79971675,53.44646313,56.80495029,57.98371155,63.00809549,66.30651107,69.40434222,70.1292036,73.22866997,75.00732538,79.91634684,86.97181459,87.34495668,82.89176021,88.07127622,91.96507491,97.04055696,100,110.2200676,114.697418,122.4811177,125.3934408,130.1301661,128.7181107,118.5162603,119.6124839
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Baja California<C1>,49.39419573,55.55364404,55.1114602,50.50438903,52.77110981,54.2014726,50.2464605,51.56058628,52.09644636,54.42500467,58.07914959,60.67908664,63.64597951,63.76804028,68.48627547,61.76036998,69.73009391,78.54937148,81.93160322,89.2307943,97.75761563,90.47241393,86.64603002,85.82028586,90.86639303,93.01507968,97.95813217,99.15290831,98.28835504,87.58846789,91.97418539,94.66751533,97.95924403,100,102.7060313,109.8673247,115.0428015,118.8609797,121.5931011,123.5879577,119.0072297,128.719494
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Baja California Sur<C1>,34.2649207,37.35107449,37.60233062,36.85188232,38.28285747,39.24487665,38.67221257,39.69007398,40.40053276,42.21977806,43.9325133,46.07934159,47.82741269,46.34440135,47.87697642,45.63087026,51.58684464,53.94982879,55.40338025,57.20895927,61.10553912,64.4285864,62.63861146,66.11244946,70.89253171,75.97970971,81.42009933,92.3251336,94.73840567,94.1850213,96.19983176,99.72190859,102.0153321,100,100.868812,113.4689345,116.4491164,128.9921491,150.573017,138.1873639,105.9762391,122.7322877
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Campeche<C1>,75.21953329,82.62282019,82.411255,76.86939107,80.31849538,83.35945603,80.68372191,83.95403387,86.61051214,90.57672936,95.77992479,99.05745544,102.1153055,101.3452335,106.5982974,99.01959001,109.0235799,115.3020712,119.2024073,112.9336613,121.6633557,130.7804164,134.1583961,145.268759,146.9398105,144.0237537,140.6602913,131.4096688,120.2675091,108.2753574,104.5602842,100.7514776,99.12659431,100,95.13180971,88.42294422,83.29284613,74.59349869,73.42624638,71.74040256,66.83953568,64.11900395
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,40.70326311,44.93221471,44.89556785,41.98818549,43.73294749,44.97673439,42.50509293,43.51326472,43.89557154,45.30565765,47.85455823,49.50542848,52.01142994,53.27134335,54.75639338,52.91086531,61.42813155,66.97023742,70.36037996,72.15748985,73.86649181,73.73192351,77.64180828,81.11628584,83.45188614,85.25863062,89.27572581,92.98999624,92.590172,78.28354131,91.03407942,97.2129914,102.1078907,100,103.9037334,104.7791005,106.3240777,111.8012338,112.9934796,112.199517,99.57291599,105.4249665
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Colima<C1>,44.2666126,47.90662678,48.37946799,47.32633603,49.04668816,50.4191684,49.70958992,51.03749685,51.96293698,53.56985636,55.83567738,57.50292658,58.84202223,60.15246956,63.04501523,59.4909843,64.28297598,67.14137795,71.78487217,74.13919225,76.95074468,75.41104184,76.04018055,74.08785584,74.15471142,74.66237668,79.33914282,84.80014853,86.36141391,83.61939911,89.6849533,96.19625469,99.03507613,100,102.4948053,104.8736609,107.8249547,111.6131032,114.885386,119.3349957,110.693631,110.8706597
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Chiapas<C1>,56.45041377,59.86421272,60.3241336,59.59588122,61.29693002,62.61230082,62.33718317,63.79714117,65.04706111,67.02935303,69.55525785,71.74581192,74.14097093,76.77196348,80.15726801,79.12148794,79.04161581,81.44632149,85.80436264,85.64785875,87.00384568,86.35108917,87.64374646,88.32356888,84.85384296,85.53148545,88.42718184,89.89447667,91.94256082,91.37603009,96.46313701,99.47363618,101.3556459,100,104.6645472,102.4513843,102.1745982,98.80949195,95.27947598,93.15093413,90.57461199,95.46106555
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Chihuahua<C1>,40.80514405,45.19112788,45.01150524,42.57174665,44.21936507,45.28219862,42.98107588,43.8957422,44.10407968,45.51016951,48.27090846,50.1453724,52.07026757,54.12369783,56.78229968,54.46614703,59.30259194,63.22394286,68.37522755,72.34084245,78.41445706,74.76433805,73.72971546,75.67375211,79.08259279,81.71715405,88.10417297,91.25737266,92.54712563,84.20899307,87.71887867,89.74151257,96.40471773,100,101.9742838,107.2125602,112.1596769,115.7901856,118.4315093,120.2796758,113.3339429,118.8776426
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Ciudad de México<C1>,50.93397325,56.32098469,56.18810415,54.0221148,55.57422125,55.47255625,52.74981349,52.90732974,52.91446398,54.85902778,57.49862288,60.3743871,62.43928789,65.85474418,68.70762381,64.32778566,67.14288629,71.96235756,74.20908819,76.63502294,81.40979061,80.38079875,81.10129236,79.79335744,83.31067995,84.47570331,88.83890603,90.10497933,91.6696744,88.38226016,91.53945829,94.79027376,98.5360749,100,102.823935,107.3595846,110.6307599,113.9343167,116.9615407,117.2001996,106.8799438,110.1584039
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Durango<C1>,48.1135229,52.0432206,51.79382891,49.75094367,51.18292607,52.11284083,50.4948686,51.50494984,52.10428343,53.74268964,56.21123266,57.99683635,59.24709176,60.52070254,63.77075523,61.08322049,64.67077147,67.13177744,72.11607252,72.256035,73.03157384,75.89258868,76.47490586,80.8888931,83.3958931,81.98866992,84.83771244,86.06579309,87.65962656,86.26353942,89.53481422,93.26214783,96.76822792,100,102.0712821,102.0286866,106.1401626,105.5574407,106.9923408,107.9306564,100.47625,106.000528
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Guanajuato<C1>,38.33579381,42.14165039,42.25139524,40.56467985,42.09047724,43.02055201,41.52957794,42.50463472,43.11078462,44.74114771,47.1900798,49.07868022,50.71738589,52.3684466,54.55119502,52.57575315,56.0088655,59.42538904,63.54390883,64.5687137,68.27973675,68.62323894,71.65970614,73.72560144,75.84455309,76.46220447,80.33410446,82.19806866,84.60227438,81.01155868,86.98115768,92.19403431,96.02177625,100,104.2903333,109.969195,113.2452073,118.4339777,119.9326309,118.0330197,109.4596705,114.7965778
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Guerrero<C1>,63.59418522,66.62607554,66.93276709,66.06542188,67.34768838,68.25164823,67.46401369,68.37941352,68.99465118,70.36399816,72.53239409,74.30016779,75.54657967,75.62717328,80.05604855,74.96842692,77.04386881,79.20872698,82.30314193,83.29273353,84.16216729,84.75969883,84.09644082,83.50296162,88.00174779,89.21834449,91.19299546,93.63307881,95.18920949,91.96931066,96.83707353,98.0196624,99.68333594,100,104.0434949,104.9216764,107.0259838,106.9844649,109.997014,110.0261596,99.93724458,103.9286389
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Hidalgo<C1>,49.16837584,53.5659736,53.73260811,51.67402813,53.50123674,54.80788097,53.18775145,54.46355831,55.2607667,57.13821109,60.19667,62.72020068,65.27354787,67.08129399,68.9160681,60.00824728,66.86361108,69.49857,76.00324183,77.02064804,78.72431756,77.84051743,77.5156196,77.7345342,82.92808225,82.28916013,84.59701888,87.30323072,90.39649915,84.6734709,89.31557392,92.89402443,96.45611571,100,105.2307006,111.9975552,116.386874,116.9429549,119.9207182,117.953819,105.6985217,108.855578
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Jalisco<C1>,49.68273754,54.34819436,54.33029382,51.83853532,53.6250325,54.69193572,52.6488612,53.75390021,54.4255931,56.28119362,59.03321922,61.10136486,62.99808386,64.5585271,66.87821591,61.36814171,64.84102694,69.58520286,74.61882939,77.57367655,81.23713912,79.55840015,78.81415273,78.04575087,80.42956178,82.6768604,86.98491407,89.64844026,90.18189168,85.44447076,90.84932971,93.57628851,97.71322431,100,104.7790278,108.4732059,112.8169726,115.5154866,118.6041032,119.4542756,110.5664173,116.5269873
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|México<C1>,45.9297912,50.09272194,50.05571206,47.97749654,49.47721398,50.13332981,48.20798706,48.99052318,49.49438764,51.24982483,53.78659095,55.96797825,57.85909557,59.63668578,61.93236574,57.19059015,62.22178066,67.47143146,70.88755237,73.4851336,77.72412102,78.13505275,76.82217604,76.7974466,78.66076867,80.53132537,84.29098526,86.77835829,87.7662263,83.41386591,89.86630675,94.01488636,98.15701278,100,102.7204044,105.8622883,108.8131591,114.0476247,117.7989418,115.7850699,109.0136337,115.4076377
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,47.30268124,50.71959006,51.34029746,50.6100292,52.33232039,53.6873835,53.18587263,54.5322423,55.53345357,57.21570147,59.54819558,61.37001858,62.67626678,62.64907923,66.86870878,65.39594551,68.22821598,75.55097529,76.17658886,80.75999636,82.18714306,80.23760284,79.26702478,81.91826672,83.74134213,85.13361655,89.14652223,91.32218398,93.09863133,88.18721478,91.73809816,95.49600697,97.93148719,100,105.6165133,107.3921806,111.8637077,115.4091349,118.0528863,118.1042695,110.6021692,113.2075533
